ID,GROUP,CODE,SITE,PLOT,SUBSTRATE,silt,sand,gravel,cobble,boulder,slab,H_silt,H_sand,H_gravel,H_cobble,H_boulder,H_slab,SUM,aspect,Densi_raw_Mean,Asp_Expo,Densi_cover,Particle_mean,Particle_even,moist_score,Vert _dist_wat,Horiz_dist_to_wat,tot_area_Seasonal,plot_slope,WatAREA__to_bankAREA,
1,1,WILD ROCK.2,WILD,ROCK,cobble,0,10,10,80,0,0,#NUM!,-2.E-01,-2.E-01,-2.E-01,#NUM!,#NUM!,100,350,42,170,43.68,0.865,0.64,4,0.24,5.12,1.275,0.10,0.76,
1,1,WILD ROCK.2,WILD,ROCK,cobble,0,10,5,60,25,0,#NUM!,-2.E-01,-1.E-01,-3.E-01,-3.E-01,#NUM!,100,160,65,20,67.6,0.9275,1.03,2.5,0.87,5.57,2.3925,0.16,1,
1,1,WILD ROCK.2,WILD,ROCK,cobble,0,5,10,80,5,0,#NUM!,-1.E-01,-2.E-01,-2.E-01,-1.E-01,#NUM!,100,160,41,20,42.64,0.915,0.71,3,0.93,3.62,1.6275,0.27,1,
1,1,WILD ROCK.2,WILD,ROCK,cobble,0,15,20,60,5,0,#NUM!,-3.E-01,-3.E-01,-3.E-01,-1.E-01,#NUM!,100,170,49,10,50.96,0.78,1.06,2.5,0.48,2.90,1.05,0.25,2.37,
1,1,WILD ROCK.2,WILD,ROCK,cobble,0,15,20,60,5,0,#NUM!,-3.E-01,-3.E-01,-3.E-01,-1.E-01,#NUM!,100,90,55,90,57.2,0.78,1.06,3,0.46,6.45,2.56,0.20,5.86,
1,1,WILD CANTON.2,WILD,CANTON,slab,5,5,10,5,0,75,-1.E-01,-1.E-01,-2.E-01,-1.E-01,#NUM!,-2.E-01,100,130,46,50,47.84,1.0025,0.90,4,0.32,4.24,2.255,0.24,0.06,
1,1,WILD CANTON.2,WILD,CANTON,slab,0,15,5,5,0,75,#NUM!,-3.E-01,-1.E-01,-1.E-01,#NUM!,-2.E-01,100,40,56,140,58.24,0.9975,0.80,4.5,0.45,4.04,1.1,0.24,15,
1,1,WILD CANTON.2,WILD,CANTON,cobble,10,25,20,35,10,0,-2.E-01,-3.E-01,-3.E-01,-4.E-01,-2.E-01,#NUM!,100,110,60,70,62.4,0.5925,1.50,5,0.37,6.14,2.196,0.12,1.02,
1,1,WILD CANTON.2,WILD,CANTON,cobble,0,10,5,80,5,0,#NUM!,-2.E-01,-1.E-01,-2.E-01,-1.E-01,#NUM!,100,110,82,70,85.28,0.8975,0.71,4,0.47,6.14,2.196,0.18,9.59,
1,1,WILD CANTON.2,WILD,CANTON,cobble,0,10,5,80,5,0,#NUM!,-2.E-01,-1.E-01,-2.E-01,-1.E-01,#NUM!,100,70,37,110,38.48,0.8975,0.71,4,0.68,3.27,1.088,0.21,1,
1,1,WILD CANTON.2,WILD,CANTON,cobble,0,10,10,40,30,10,#NUM!,-2.E-01,-2.E-01,-4.E-01,-4.E-01,-2.E-01,100,150,22,30,22.88,0.93,1.42,5,0.18,7.93,2.6465,0.09,0.17,
1,1,WILD CANTON.2,WILD,CANTON,cobble,0,10,10,40,30,10,#NUM!,-2.E-01,-2.E-01,-4.E-01,-4.E-01,-2.E-01,100,120,81,60,84.24,0.93,1.42,4,0.07,7.93,2.6465,0.08,0,
1,1,WILD CANTON.2,WILD,CANTON,slab,0,5,5,10,5,75,#NUM!,-1.E-01,-1.E-01,-2.E-01,-1.E-01,-2.E-01,100,180,36,0,37.44,1.09,0.90,4,0.50,0.71,0.125,1.00,1,
